hotel,price,score,reviews_count,review_text,free_cancellation
Apartamentos Solmares, 404,8.5,396,very good,No Free Cancellation
Premium Boutique Apartments Javea, 200,9.4,242,wonderful,No Free Cancellation
AC Hotel Avenida de AmÃ©rica by Marriott, 624,8.7,2983,excellent,Free Cancellation
Apartamentos Casalpujarra, 300,9,192,wonderful,Free Cancellation
Hotel Sercotel Alfonso VI, 254,8.2,5831,very good,Free Cancellation
Hotel Spa QH Centro LeÃ³n, 224,8.4,3063,very good,Free Cancellation
Casas Rurales Luis, 250,9.3,88,wonderful,No Free Cancellation
"Hotel Faro, a Lopesan Collection Hotel - Adults Only"," 1,604",9.2,1950,wonderful,Free Cancellation
La Estancia Villa Rosillo, 374,9.2,644,wonderful,Free Cancellation
MB Boutique Hotel - Adults Recommended, 356,9.1,3278,wonderful,Free Cancellation
Mushara Apartamento TurÃ­stico, 379,9.4,75,wonderful,Free Cancellation
Apartamentos Sureda, 309,8.9,1151,excellent,No Free Cancellation
NM Suites by Escampa Hotels, 211,8.6,2554,excellent,Free Cancellation
Gran Hotel Balneario De Puente Viesgo, 315,8.7,3447,excellent,Free Cancellation
LA POSADA DE HIGUERUELA, 351,8.5,191,very good,Free Cancellation
Cas CatalÃ , 402,9,27,wonderful,Free Cancellation
Casa Bombo, 490,9.3,1587,wonderful,No Free Cancellation
El Molino Estepona, 422,9.8,593,exceptional,Free Cancellation
Hotel Taray Botanico, 291,9.2,448,wonderful,Free Cancellation
Boutique Hotel Sierra de Alicante, 364,9.5,749,exceptional,Free Cancellation
Mar do Ãzaro - Boutique Hotel, 336,9.4,554,wonderful,Free Cancellation
HOTEL LA FONDA DE DON GONZALO, 248,8.4,646,very good,No Free Cancellation
Hotel AlbaicÃ­n - Auto Check-in, 216,8.1,913,very good,No Free Cancellation
SLEEP'N Atocha - B Corp Certified, 447,8.9,8617,excellent,No Free Cancellation
Hotel Boutique Puig FrancÃ³ - Adults Only, 583,8.9,803,excellent,Free Cancellation
Hotel Rural Camino Medulas, 220,8.4,1052,very good,No Free Cancellation
Casa Rural Las Albertas, 330,8.8,89,excellent,Free Cancellation
Casas Pirineos, 576,8.9,233,excellent,No Free Cancellation
Homity Holidays - Playa Granada - Aguacate Beach, 335,9.5,277,exceptional,No Free Cancellation
HBE Boutique EspaÃ±a - Turismo de Interior, 375,8.8,344,excellent,Free Cancellation
Vincci Frontaura, 379,8.6,3682,excellent,Free Cancellation
ETH Pomer, 597,8.7,2631,excellent,Free Cancellation
Halley Hotel & Apartments Affiliated by MeliÃ¡, 233,8.9,3018,excellent,Free Cancellation
Hipotels Natura Palace Adults Only, 832,9,2233,wonderful,No Free Cancellation
Executive Sport, 320,7.6,1534,good,Free Cancellation
